train_patent_id,eval_family_id,eval_expansion_level,eval_label,abs_jaccard,title_jaccard,train_title
11574097,70550169,ANTISEED-manual,0,1.0,1.0,Deep learning based identification of difficult to test nodes
11010516,70550169,ANTISEED-manual,0,1.0,1.0,Deep learning based identification of difficult to test nodes
11417128,64572544,ANTISEED-manual,0,1.0,0.2692,"Method, device, and system for adaptive training of machine learning models via "
10769718,72290072,SEED,1,1.0,1.0,"Method, medium, and system for live preview via machine learning models"
11538096,72290072,SEED,1,1.0,1.0,"Method, medium, and system for live preview via machine learning models"
11468318,63522622,SEED,1,1.0,1.0,Frame interpolation via adaptive convolution and adaptive separable convolution
11803981,72046939,SEED,1,1.0,1.0,Vehicle environment modeling with cameras
10726356,71783226,ANTISEED-manual,0,1.0,1.0,Target variable distribution-based acceptance of machine learning test data sets
10810464,63583486,ANTISEED-manual,0,1.0,1.0,"Information processing apparatus, information processing method, and storage med"
10824752,68104374,ANTISEED-manual,0,1.0,1.0,Utilizing heuristic and machine learning models to generate a mandatory access c
11347751,62243945,ANTISEED-manual,0,1.0,1.0,System and method for associating user-entered text to database entries
10628708,65996870,SEED,1,1.0,0.0476,Utilizing a deep neural network-based model to identify visually similar digital
11227185,65996870,SEED,1,1.0,0.0,Identifying visually similar digital images utilizing deep learning
10762164,64097285,ANTISEED-manual,0,1.0,1.0,Vector and matrix computing device
11734383,64097285,ANTISEED-manual,0,1.0,1.0,Vector and matrix computing device
10441225,67617360,SEED,1,1.0,1.0,Predicting disease recurrence following trimodality therapy in non-small cell lu
10657647,70736533,SEED,1,1.0,1.0,Image processing system to detect changes to target objects using base object mo
10902665,72603658,SEED,1,1.0,1.0,Rendering images from deeply learned raytracing parameters
11074751,70849766,SEED,1,1.0,1.0,3D hair synthesis using volumetric variational autoencoders
11605168,70727931,SEED,1,1.0,1.0,Learning copy space using regression and segmentation neural networks
10748662,62081949,SEED,1,1.0,1.0,Content-based medical image retrieval method and retrieval system
11983269,68533906,ANTISEED-manual,0,1.0,1.0,Deep neural network system for similarity-based graph representations
10692570,69139756,ANTISEED-manual,0,1.0,1.0,Neural network matrix multiplication in memory cells
11537719,68533906,ANTISEED-manual,0,1.0,1.0,Deep neural network system for similarity-based graph representations
10984257,66696049,ANTISEED-manual,0,1.0,1.0,Training multiple neural networks of a vehicle perception component based on sen
11093826,59497841,ANTISEED-manual,0,1.0,1.0,Efficient determination of optimized learning settings of neural networks
9449283,56895606,ANTISEED-manual,0,1.0,1.0,Selecting a training strategy for training a machine learning model
11176470,64903303,ANTISEED-manual,0,1.0,1.0,Artificial intelligence based solution generator
9857271,52810356,ANTISEED-manual,0,1.0,1.0,Life-time management of downhole tools and components
